year,total
1970,31.94
1971,31.09
1972,28.31
1973,29.93
1974,31.06
1975,33.34
1976,30.14
1977,31.83
1978,36.27
1979,36.51
1980,40.23
1981,34.93
1982,40.04
1983,41.95
1984,44.73
1985,43.58
1986,43.52
1987,48.61
1988,47.73
1989,47.07
1990,48.49
1991,44.12
1992,47.08
1993,48.85
1994,49.63
1995,45.64
1996,46.92
1997,45.60
1998,47.84
1999,47.61
2000,45.53
2001,43.89
2002,43.54
2003,47.00
2004,50.92
2005,45.64
2006,51.21
2007,50.28
2008,48.33
2009,47.69
2010,47.90
2011,42.82
2012,43.74
2013,45.84
2014,45.87
2015,46.64
2016,48.78
2017,47.35
