year,total
1970,0.45
1971,0.83
1972,0.43
1973,0.71
1974,1.25
1975,0.73
1976,1.19
1977,1.13
1978,1.27
1979,0.85
1980,2.10
1981,1.56
1982,1.86
1983,2.21
1984,1.84
1985,1.52
1986,2.37
1987,1.60
1988,1.58
1989,1.09
1990,1.43
1991,1.45
1992,2.19
1993,1.34
1994,1.37
1995,1.59
1996,1.60
1997,1.75
1998,1.54
1999,1.94
2000,2.23
2001,2.53
2002,2.45
2003,2.69
2004,3.20
2005,3.49
2006,3.54
2007,3.53
2008,3.87
2009,4.28
2010,4.03
2011,5.14
2012,5.66
2013,6.16
2014,7.03
2015,7.24
2016,6.93
2017,7.54
