year,total
1970,17.38
1971,18.06
1972,17.92
1973,18.16
1974,18.49
1975,17.64
1976,19.25
1977,19.21
1978,20.19
1979,20.98
1980,20.77
1981,21.48
1982,22.54
1983,21.25
1984,22.18
1985,23.48
1986,25.82
1987,25.02
1988,24.29
1989,24.71
1990,24.34
1991,25.03
1992,27.10
1993,26.58
1994,27.76
1995,27.06
1996,27.58
1997,27.14
1998,28.00
1999,30.69
2000,28.45
2001,26.63
2002,26.78
2003,26.17
2004,25.78
2005,25.18
2006,25.11
2007,25.95
2008,25.04
2009,22.01
2010,25.61
2011,25.54
2012,26.99
2013,28.09
2014,27.97
2015,28.04
2016,27.55
2017,28.73
