year,total
1970,11.0
1971,11.3
1972,10.6
1973,11.0
1974,11.1
1975,11.0
1976,10.6
1977,10.5
1978,10.6
1979,10.1
1980,10.0
1981,10.2
1982,10.3
1983,10.3
1984,10.3
1985,10.3
1986,10.2
1987,10.7
1988,10.4
1989,9.9
1990,9.5
1991,9.6
1992,9.8
1993,10.7
1994,10.3
1995,9.5
1996,9.2
1997,10.4
1998,9.8
1999,8.8
2000,10.3
2001,10.1
2002,9.5
2003,8.5
2004,9.1
2005,9.0
2006,9.0
2007,9.0
2008,9.0
2009,8.2
2010,8.5
2011,7.6
2012,7.4
2013,7.9
2014,7.6
2015,7.2
2016,6.9
2017,7.5
