year,total
1970,9.5
1971,9.5
1972,10.4
1973,10.7
1974,10.7
1975,9.9
1976,9.9
1977,9.0
1978,8.7
1979,9.6
1980,9.6
1981,9.6
1982,9.5
1983,9.5
1984,10.7
1985,9.7
1986,9.5
1987,11.4
1988,10.5
1989,11.5
1990,11.8
1991,11.3
1992,12.3
1993,14.7
1994,16.9
1995,15.4
1996,16.9
1997,18.2
1998,13.7
1999,13.1
2000,13.0
2001,12.7
2002,11.5
2003,11.9
2004,11.8
2005,11.8
2006,11.1
2007,10.5
2008,10.6
2009,9.8
2010,10.0
2011,9.9
2012,9.9
2013,10.5
2014,10.4
2015,10.8
2016,10.8
2017,10.9
