year,total
1970,11.66
1971,13.13
1972,9.38
1973,12.47
1974,12.97
1975,13.06
1976,16.18
1977,12.29
1978,12.30
1979,13.35
1980,15.89
1981,13.70
1982,17.54
1983,17.50
1984,18.33
1985,19.32
1986,18.35
1987,18.88
1988,22.00
1989,20.62
1990,19.81
1991,20.19
1992,18.72
1993,19.84
1994,18.82
1995,21.74
1996,18.35
1997,19.65
1998,18.75
1999,20.16
2000,18.67
2001,17.84
2002,19.84
2003,18.97
2004,18.69
2005,21.53
2006,20.19
2007,21.29
2008,20.40
2009,18.35
2010,18.51
2011,18.86
2012,17.52
2013,19.47
2014,19.29
2015,19.17
2016,18.28
2017,17.73
