year,total
1970,4.22
1971,4.72
1972,4.41
1973,5.94
1974,4.36
1975,8.20
1976,4.21
1977,6.53
1978,6.85
1979,4.47
1980,5.25
1981,8.54
1982,6.69
1983,6.67
1984,5.18
1985,6.12
1986,5.27
1987,7.86
1988,5.15
1989,5.12
1990,6.23
1991,6.08
1992,5.74
1993,7.00
1994,7.39
1995,6.04
1996,6.88
1997,6.95
1998,6.77
1999,5.62
2000,6.35
2001,8.21
2002,6.63
2003,8.68
2004,6.49
2005,7.19
2006,7.92
2007,6.42
2008,5.17
2009,7.35
2010,6.74
2011,8.58
2012,7.92
2013,8.03
2014,7.15
2015,8.83
2016,9.19
2017,9.77
