year,total
1970,11.3
1971,12.2
1972,11.6
1973,11.4
1974,12.7
1975,12.5
1976,11.8
1977,12.4
1978,12.2
1979,13.4
1980,12.2
1981,11.6
1982,14.2
1983,13.8
1984,14.6
1985,15.2
1986,15.6
1987,14.9
1988,16.2
1989,16.4
1990,17.2
1991,17.3
1992,17.5
1993,19.2
1994,17.9
1995,19.1
1996,19.2
1997,19.7
1998,19.5
1999,20.8
2000,20.4
2001,19.5
2002,20.4
2003,21.3
2004,23.4
2005,22.0
2006,21.7
2007,22.6
2008,21.7
2009,21.5
2010,20.9
2011,20.4
2012,20.6
2013,19.4
2014,19.8
2015,19.6
2016,24.3
2017,25.4
