year,Total
1970,83.76
1971,83.76
1972,86.57
1973,84.28
1974,87.13
1975,94.78
1976,102.15
1977,108.95
1978,92.12
1979,86.42
1980,95.68
1981,95.53
1982,86.98
1983,106.44
1984,92.46
1985,90.39
1986,96.50
1987,81.67
1988,79.62
1989,79.91
1990,75.10
1991,82.14
1992,76.44
1993,88.56
1994,88.29
1995,81.68
1996,90.75
1997,88.31
1998,104.01
1999,81.48
2000,91.97
2001,87.21
2002,84.27
2003,83.10
2004,83.99
2005,80.60
2006,73.05
2007,65.46
2008,62.57
2009,63.54
2010,61.36
2011,63.06
2012,54.22
2013,55.98
2014,53.67
2015,51.48
2016,51.31
2017,47.27
