year,total
1970,13.07
1971,12.94
1972,10.52
1973,10.43
1974,11.47
1975,11.38
1976,11.36
1977,11.70
1978,12.02
1979,12.65
1980,13.22
1981,11.89
1982,10.16
1983,9.70
1984,11.30
1985,10.10
1986,10.65
1987,10.50
1988,11.41
1989,10.72
1990,9.87
1991,11.17
1992,10.93
1993,10.33
1994,10.08
1995,8.97
1996,8.74
1997,10.17
1998,8.76
1999,9.56
2000,10.00
2001,9.51
2002,9.85
2003,9.58
2004,9.70
2005,9.15
2006,8.24
2007,9.20
2008,9.09
2009,8.59
2010,8.80
2011,7.87
2012,7.32
2013,6.59
2014,6.66
2015,6.63
2016,6.15
2017,5.63
