year,total
1970,5.29
1971,6.66
1972,6.04
1973,6.70
1974,6.32
1975,6.73
1976,7.27
1977,6.97
1978,6.21
1979,7.07
1980,7.34
1981,7.33
1982,7.03
1983,6.75
1984,5.83
1985,6.11
1986,6.53
1987,7.53
1988,6.86
1989,7.11
1990,7.29
1991,6.70
1992,6.96
1993,6.85
1994,7.29
1995,6.41
1996,5.96
1997,6.94
1998,6.83
1999,7.03
2000,6.31
2001,6.32
2002,5.73
2003,5.81
2004,5.54
2005,5.26
2006,5.63
2007,5.02
2008,5.40
2009,5.68
2010,4.88
2011,5.40
2012,4.83
2013,4.88
2014,4.85
2015,4.69
2016,4.37
2017,4.38
