year,total
1970,11.83
1971,11.73
1972,11.40
1973,9.59
1974,8.72
1975,10.12
1976,10.26
1977,10.92
1978,10.81
1979,12.00
1980,12.06
1981,11.24
1982,11.45
1983,11.40
1984,10.57
1985,12.21
1986,13.74
1987,13.20
1988,13.24
1989,14.16
1990,14.70
1991,14.71
1992,15.16
1993,13.78
1994,12.60
1995,12.34
1996,12.32
1997,12.14
1998,10.93
1999,13.06
2000,12.56
2001,12.18
2002,13.13
2003,14.16
2004,12.91
2005,13.51
2006,13.98
2007,12.60
2008,13.46
2009,13.28
2010,12.76
2011,13.13
2012,13.55
2013,13.91
2014,14.04
2015,13.90
2016,14.10
2017,14.40
