year,total
1970,121.7
1971,117.8
1972,119.4
1973,118.3
1974,117.2
1975,122.0
1976,125.3
1977,122.1
1978,119.4
1979,117.8
1980,114.7
1981,116.5
1982,115.0
1983,118.6
1984,122.1
1985,122.4
1986,126.0
1987,125.9
1988,122.4
1989,127.0
1990,124.0
1991,134.0
1992,129.8
1993,136.5
1994,136.5
1995,136.6
1996,144.9
1997,137.7
1998,137.6
1999,136.2
2000,138.0
2001,138.7
2002,131.8
2003,137.9
2004,134.6
2005,125.4
2006,123.7
2007,124.3
2008,118.3
2009,113.3
2010,113.8
2011,110.4
2012,114.8
2013,113.5
2014,113.0
2015,115.3
2016,110.0
2017,117.4
