year,total
1970,74.3
1971,79.7
1972,77.0
1973,70.9
1974,73.2
1975,73.9
1976,78.2
1977,75.1
1978,71.8
1979,76.7
1980,76.4
1981,71.6
1982,73.0
1983,74.4
1984,82.7
1985,78.1
1986,79.4
1987,81.1
1988,78.1
1989,86.2
1990,90.8
1991,92.5
1992,88.8
1993,92.1
1994,92.5
1995,91.4
1996,90.8
1997,89.9
1998,92.5
1999,90.3
2000,89.1
2001,84.7
2002,89.6
2003,89.2
2004,90.5
2005,93.9
2006,84.3
2007,87.9
2008,85.6
2009,89.9
2010,91.7
2011,86.7
2012,87.3
2013,86.2
2014,88.0
2015,76.8
2016,81.4
2017,78.4
