year,total
1970,13.49
1971,13.04
1972,12.31
1973,12.74
1974,11.32
1975,11.44
1976,12.63
1977,12.62
1978,11.89
1979,11.40
1980,10.65
1981,11.65
1982,12.48
1983,11.31
1984,14.42
1985,13.50
1986,12.75
1987,12.98
1988,13.55
1989,13.62
1990,13.28
1991,12.73
1992,14.70
1993,14.19
1994,15.00
1995,15.16
1996,16.58
1997,15.49
1998,14.34
1999,15.21
2000,13.82
2001,15.01
2002,14.04
2003,13.54
2004,12.99
2005,13.55
2006,15.12
2007,14.41
2008,15.56
2009,14.92
2010,15.70
2011,13.83
2012,13.89
2013,14.48
2014,13.90
2015,14.86
2016,16.48
2017,16.13
